rgn_id,year,a_prot_1km
1804,2000,4988
1804,2001,5001.75
1804,2002,5231.25
1804,2003,5860.5
1804,2004,6165
1804,2005,6386
1804,2006,6489.5
1804,2007,6491.5
1804,2008,6495.5
1804,2009,6630.75
1804,2010,6731
1804,2011,6736.25
1804,2012,6736.5
1804,2013,6765.25
1804,2014,6769.75
1804,2015,6778.5
1804,2016,6819.75
1804,2017,6819.75
1804,2018,6819.75
1805,2000,4988
1805,2001,5001.75
1805,2002,5231.25
1805,2003,5860.5
1805,2004,6165
1805,2005,6386
1805,2006,6489.5
1805,2007,6491.5
1805,2008,6495.5
1805,2009,6630.75
1805,2010,6731
1805,2011,6736.25
1805,2012,6736.5
1805,2013,6765.25
1805,2014,6769.75
1805,2015,6778.5
1805,2016,6819.75
1805,2017,6819.75
1805,2018,6819.75
1811,2000,4988
1811,2001,5001.75
1811,2002,5231.25
1811,2003,5860.5
1811,2004,6165
1811,2005,6386
1811,2006,6489.5
1811,2007,6491.5
1811,2008,6495.5
1811,2009,6630.75
1811,2010,6731
1811,2011,6736.25
1811,2012,6736.5
1811,2013,6765.25
1811,2014,6769.75
1811,2015,6778.5
1811,2016,6819.75
1811,2017,6819.75
1811,2018,6819.75
1812,2000,4988
1812,2001,5001.75
1812,2002,5231.25
1812,2003,5860.5
1812,2004,6165
1812,2005,6386
1812,2006,6489.5
1812,2007,6491.5
1812,2008,6495.5
1812,2009,6630.75
1812,2010,6731
1812,2011,6736.25
1812,2012,6736.5
1812,2013,6765.25
1812,2014,6769.75
1812,2015,6778.5
1812,2016,6819.75
1812,2017,6819.75
1812,2018,6819.75
1813,2000,4988
1813,2001,5001.75
1813,2002,5231.25
1813,2003,5860.5
1813,2004,6165
1813,2005,6386
1813,2006,6489.5
1813,2007,6491.5
1813,2008,6495.5
1813,2009,6630.75
1813,2010,6731
1813,2011,6736.25
1813,2012,6736.5
1813,2013,6765.25
1813,2014,6769.75
1813,2015,6778.5
1813,2016,6819.75
1813,2017,6819.75
1813,2018,6819.75
1815,2000,4988
1815,2001,5001.75
1815,2002,5231.25
1815,2003,5860.5
1815,2004,6165
1815,2005,6386
1815,2006,6489.5
1815,2007,6491.5
1815,2008,6495.5
1815,2009,6630.75
1815,2010,6731
1815,2011,6736.25
1815,2012,6736.5
1815,2013,6765.25
1815,2014,6769.75
1815,2015,6778.5
1815,2016,6819.75
1815,2017,6819.75
1815,2018,6819.75
1816,2000,4988
1816,2001,5001.75
1816,2002,5231.25
1816,2003,5860.5
1816,2004,6165
1816,2005,6386
1816,2006,6489.5
1816,2007,6491.5
1816,2008,6495.5
1816,2009,6630.75
1816,2010,6731
1816,2011,6736.25
1816,2012,6736.5
1816,2013,6765.25
1816,2014,6769.75
1816,2015,6778.5
1816,2016,6819.75
1816,2017,6819.75
1816,2018,6819.75
1818,2000,4988
1818,2001,5001.75
1818,2002,5231.25
1818,2003,5860.5
1818,2004,6165
1818,2005,6386
1818,2006,6489.5
1818,2007,6491.5
1818,2008,6495.5
1818,2009,6630.75
1818,2010,6731
1818,2011,6736.25
1818,2012,6736.5
1818,2013,6765.25
1818,2014,6769.75
1818,2015,6778.5
1818,2016,6819.75
1818,2017,6819.75
1818,2018,6819.75
1820,2000,4988
1820,2001,5001.75
1820,2002,5231.25
1820,2003,5860.5
1820,2004,6165
1820,2005,6386
1820,2006,6489.5
1820,2007,6491.5
1820,2008,6495.5
1820,2009,6630.75
1820,2010,6731
1820,2011,6736.25
1820,2012,6736.5
1820,2013,6765.25
1820,2014,6769.75
1820,2015,6778.5
1820,2016,6819.75
1820,2017,6819.75
1820,2018,6819.75
1822,2000,4988
1822,2001,5001.75
1822,2002,5231.25
1822,2003,5860.5
1822,2004,6165
1822,2005,6386
1822,2006,6489.5
1822,2007,6491.5
1822,2008,6495.5
1822,2009,6630.75
1822,2010,6731
1822,2011,6736.25
1822,2012,6736.5
1822,2013,6765.25
1822,2014,6769.75
1822,2015,6778.5
1822,2016,6819.75
1822,2017,6819.75
1822,2018,6819.75
1824,2000,4988
1824,2001,5001.75
1824,2002,5231.25
1824,2003,5860.5
1824,2004,6165
1824,2005,6386
1824,2006,6489.5
1824,2007,6491.5
1824,2008,6495.5
1824,2009,6630.75
1824,2010,6731
1824,2011,6736.25
1824,2012,6736.5
1824,2013,6765.25
1824,2014,6769.75
1824,2015,6778.5
1824,2016,6819.75
1824,2017,6819.75
1824,2018,6819.75
1827,2000,4988
1827,2001,5001.75
1827,2002,5231.25
1827,2003,5860.5
1827,2004,6165
1827,2005,6386
1827,2006,6489.5
1827,2007,6491.5
1827,2008,6495.5
1827,2009,6630.75
1827,2010,6731
1827,2011,6736.25
1827,2012,6736.5
1827,2013,6765.25
1827,2014,6769.75
1827,2015,6778.5
1827,2016,6819.75
1827,2017,6819.75
1827,2018,6819.75
1828,2000,4988
1828,2001,5001.75
1828,2002,5231.25
1828,2003,5860.5
1828,2004,6165
1828,2005,6386
1828,2006,6489.5
1828,2007,6491.5
1828,2008,6495.5
1828,2009,6630.75
1828,2010,6731
1828,2011,6736.25
1828,2012,6736.5
1828,2013,6765.25
1828,2014,6769.75
1828,2015,6778.5
1828,2016,6819.75
1828,2017,6819.75
1828,2018,6819.75
1832,2000,4988
1832,2001,5001.75
1832,2002,5231.25
1832,2003,5860.5
1832,2004,6165
1832,2005,6386
1832,2006,6489.5
1832,2007,6491.5
1832,2008,6495.5
1832,2009,6630.75
1832,2010,6731
1832,2011,6736.25
1832,2012,6736.5
1832,2013,6765.25
1832,2014,6769.75
1832,2015,6778.5
1832,2016,6819.75
1832,2017,6819.75
1832,2018,6819.75
1833,2000,4988
1833,2001,5001.75
1833,2002,5231.25
1833,2003,5860.5
1833,2004,6165
1833,2005,6386
1833,2006,6489.5
1833,2007,6491.5
1833,2008,6495.5
1833,2009,6630.75
1833,2010,6731
1833,2011,6736.25
1833,2012,6736.5
1833,2013,6765.25
1833,2014,6769.75
1833,2015,6778.5
1833,2016,6819.75
1833,2017,6819.75
1833,2018,6819.75
1834,2000,4988
1834,2001,5001.75
1834,2002,5231.25
1834,2003,5860.5
1834,2004,6165
1834,2005,6386
1834,2006,6489.5
1834,2007,6491.5
1834,2008,6495.5
1834,2009,6630.75
1834,2010,6731
1834,2011,6736.25
1834,2012,6736.5
1834,2013,6765.25
1834,2014,6769.75
1834,2015,6778.5
1834,2016,6819.75
1834,2017,6819.75
1834,2018,6819.75
1835,2000,4988
1835,2001,5001.75
1835,2002,5231.25
1835,2003,5860.5
1835,2004,6165
1835,2005,6386
1835,2006,6489.5
1835,2007,6491.5
1835,2008,6495.5
1835,2009,6630.75
1835,2010,6731
1835,2011,6736.25
1835,2012,6736.5
1835,2013,6765.25
1835,2014,6769.75
1835,2015,6778.5
1835,2016,6819.75
1835,2017,6819.75
1835,2018,6819.75
1836,2000,4988
1836,2001,5001.75
1836,2002,5231.25
1836,2003,5860.5
1836,2004,6165
1836,2005,6386
1836,2006,6489.5
1836,2007,6491.5
1836,2008,6495.5
1836,2009,6630.75
1836,2010,6731
1836,2011,6736.25
1836,2012,6736.5
1836,2013,6765.25
1836,2014,6769.75
1836,2015,6778.5
1836,2016,6819.75
1836,2017,6819.75
1836,2018,6819.75
1837,2000,4988
1837,2001,5001.75
1837,2002,5231.25
1837,2003,5860.5
1837,2004,6165
1837,2005,6386
1837,2006,6489.5
1837,2007,6491.5
1837,2008,6495.5
1837,2009,6630.75
1837,2010,6731
1837,2011,6736.25
1837,2012,6736.5
1837,2013,6765.25
1837,2014,6769.75
1837,2015,6778.5
1837,2016,6819.75
1837,2017,6819.75
1837,2018,6819.75
1838,2000,4988
1838,2001,5001.75
1838,2002,5231.25
1838,2003,5860.5
1838,2004,6165
1838,2005,6386
1838,2006,6489.5
1838,2007,6491.5
1838,2008,6495.5
1838,2009,6630.75
1838,2010,6731
1838,2011,6736.25
1838,2012,6736.5
1838,2013,6765.25
1838,2014,6769.75
1838,2015,6778.5
1838,2016,6819.75
1838,2017,6819.75
1838,2018,6819.75
1840,2000,4988
1840,2001,5001.75
1840,2002,5231.25
1840,2003,5860.5
1840,2004,6165
1840,2005,6386
1840,2006,6489.5
1840,2007,6491.5
1840,2008,6495.5
1840,2009,6630.75
1840,2010,6731
1840,2011,6736.25
1840,2012,6736.5
1840,2013,6765.25
1840,2014,6769.75
1840,2015,6778.5
1840,2016,6819.75
1840,2017,6819.75
1840,2018,6819.75
1841,2000,4988
1841,2001,5001.75
1841,2002,5231.25
1841,2003,5860.5
1841,2004,6165
1841,2005,6386
1841,2006,6489.5
1841,2007,6491.5
1841,2008,6495.5
1841,2009,6630.75
1841,2010,6731
1841,2011,6736.25
1841,2012,6736.5
1841,2013,6765.25
1841,2014,6769.75
1841,2015,6778.5
1841,2016,6819.75
1841,2017,6819.75
1841,2018,6819.75
1845,2000,4988
1845,2001,5001.75
1845,2002,5231.25
1845,2003,5860.5
1845,2004,6165
1845,2005,6386
1845,2006,6489.5
1845,2007,6491.5
1845,2008,6495.5
1845,2009,6630.75
1845,2010,6731
1845,2011,6736.25
1845,2012,6736.5
1845,2013,6765.25
1845,2014,6769.75
1845,2015,6778.5
1845,2016,6819.75
1845,2017,6819.75
1845,2018,6819.75
1848,2000,4988
1848,2001,5001.75
1848,2002,5231.25
1848,2003,5860.5
1848,2004,6165
1848,2005,6386
1848,2006,6489.5
1848,2007,6491.5
1848,2008,6495.5
1848,2009,6630.75
1848,2010,6731
1848,2011,6736.25
1848,2012,6736.5
1848,2013,6765.25
1848,2014,6769.75
1848,2015,6778.5
1848,2016,6819.75
1848,2017,6819.75
1848,2018,6819.75
1849,2000,4988
1849,2001,5001.75
1849,2002,5231.25
1849,2003,5860.5
1849,2004,6165
1849,2005,6386
1849,2006,6489.5
1849,2007,6491.5
1849,2008,6495.5
1849,2009,6630.75
1849,2010,6731
1849,2011,6736.25
1849,2012,6736.5
1849,2013,6765.25
1849,2014,6769.75
1849,2015,6778.5
1849,2016,6819.75
1849,2017,6819.75
1849,2018,6819.75
1850,2000,4988
1850,2001,5001.75
1850,2002,5231.25
1850,2003,5860.5
1850,2004,6165
1850,2005,6386
1850,2006,6489.5
1850,2007,6491.5
1850,2008,6495.5
1850,2009,6630.75
1850,2010,6731
1850,2011,6736.25
1850,2012,6736.5
1850,2013,6765.25
1850,2014,6769.75
1850,2015,6778.5
1850,2016,6819.75
1850,2017,6819.75
1850,2018,6819.75
1851,2000,4988
1851,2001,5001.75
1851,2002,5231.25
1851,2003,5860.5
1851,2004,6165
1851,2005,6386
1851,2006,6489.5
1851,2007,6491.5
1851,2008,6495.5
1851,2009,6630.75
1851,2010,6731
1851,2011,6736.25
1851,2012,6736.5
1851,2013,6765.25
1851,2014,6769.75
1851,2015,6778.5
1851,2016,6819.75
1851,2017,6819.75
1851,2018,6819.75
1852,2000,4988
1852,2001,5001.75
1852,2002,5231.25
1852,2003,5860.5
1852,2004,6165
1852,2005,6386
1852,2006,6489.5
1852,2007,6491.5
1852,2008,6495.5
1852,2009,6630.75
1852,2010,6731
1852,2011,6736.25
1852,2012,6736.5
1852,2013,6765.25
1852,2014,6769.75
1852,2015,6778.5
1852,2016,6819.75
1852,2017,6819.75
1852,2018,6819.75
1853,2000,4988
1853,2001,5001.75
1853,2002,5231.25
1853,2003,5860.5
1853,2004,6165
1853,2005,6386
1853,2006,6489.5
1853,2007,6491.5
1853,2008,6495.5
1853,2009,6630.75
1853,2010,6731
1853,2011,6736.25
1853,2012,6736.5
1853,2013,6765.25
1853,2014,6769.75
1853,2015,6778.5
1853,2016,6819.75
1853,2017,6819.75
1853,2018,6819.75
1854,2000,4988
1854,2001,5001.75
1854,2002,5231.25
1854,2003,5860.5
1854,2004,6165
1854,2005,6386
1854,2006,6489.5
1854,2007,6491.5
1854,2008,6495.5
1854,2009,6630.75
1854,2010,6731
1854,2011,6736.25
1854,2012,6736.5
1854,2013,6765.25
1854,2014,6769.75
1854,2015,6778.5
1854,2016,6819.75
1854,2017,6819.75
1854,2018,6819.75
1856,2000,4988
1856,2001,5001.75
1856,2002,5231.25
1856,2003,5860.5
1856,2004,6165
1856,2005,6386
1856,2006,6489.5
1856,2007,6491.5
1856,2008,6495.5
1856,2009,6630.75
1856,2010,6731
1856,2011,6736.25
1856,2012,6736.5
1856,2013,6765.25
1856,2014,6769.75
1856,2015,6778.5
1856,2016,6819.75
1856,2017,6819.75
1856,2018,6819.75
1857,2000,4988
1857,2001,5001.75
1857,2002,5231.25
1857,2003,5860.5
1857,2004,6165
1857,2005,6386
1857,2006,6489.5
1857,2007,6491.5
1857,2008,6495.5
1857,2009,6630.75
1857,2010,6731
1857,2011,6736.25
1857,2012,6736.5
1857,2013,6765.25
1857,2014,6769.75
1857,2015,6778.5
1857,2016,6819.75
1857,2017,6819.75
1857,2018,6819.75
1859,2000,4988
1859,2001,5001.75
1859,2002,5231.25
1859,2003,5860.5
1859,2004,6165
1859,2005,6386
1859,2006,6489.5
1859,2007,6491.5
1859,2008,6495.5
1859,2009,6630.75
1859,2010,6731
1859,2011,6736.25
1859,2012,6736.5
1859,2013,6765.25
1859,2014,6769.75
1859,2015,6778.5
1859,2016,6819.75
1859,2017,6819.75
1859,2018,6819.75
1860,2000,4988
1860,2001,5001.75
1860,2002,5231.25
1860,2003,5860.5
1860,2004,6165
1860,2005,6386
1860,2006,6489.5
1860,2007,6491.5
1860,2008,6495.5
1860,2009,6630.75
1860,2010,6731
1860,2011,6736.25
1860,2012,6736.5
1860,2013,6765.25
1860,2014,6769.75
1860,2015,6778.5
1860,2016,6819.75
1860,2017,6819.75
1860,2018,6819.75
1865,2000,4988
1865,2001,5001.75
1865,2002,5231.25
1865,2003,5860.5
1865,2004,6165
1865,2005,6386
1865,2006,6489.5
1865,2007,6491.5
1865,2008,6495.5
1865,2009,6630.75
1865,2010,6731
1865,2011,6736.25
1865,2012,6736.5
1865,2013,6765.25
1865,2014,6769.75
1865,2015,6778.5
1865,2016,6819.75
1865,2017,6819.75
1865,2018,6819.75
1866,2000,4988
1866,2001,5001.75
1866,2002,5231.25
1866,2003,5860.5
1866,2004,6165
1866,2005,6386
1866,2006,6489.5
1866,2007,6491.5
1866,2008,6495.5
1866,2009,6630.75
1866,2010,6731
1866,2011,6736.25
1866,2012,6736.5
1866,2013,6765.25
1866,2014,6769.75
1866,2015,6778.5
1866,2016,6819.75
1866,2017,6819.75
1866,2018,6819.75
1867,2000,4988
1867,2001,5001.75
1867,2002,5231.25
1867,2003,5860.5
1867,2004,6165
1867,2005,6386
1867,2006,6489.5
1867,2007,6491.5
1867,2008,6495.5
1867,2009,6630.75
1867,2010,6731
1867,2011,6736.25
1867,2012,6736.5
1867,2013,6765.25
1867,2014,6769.75
1867,2015,6778.5
1867,2016,6819.75
1867,2017,6819.75
1867,2018,6819.75
1868,2000,4988
1868,2001,5001.75
1868,2002,5231.25
1868,2003,5860.5
1868,2004,6165
1868,2005,6386
1868,2006,6489.5
1868,2007,6491.5
1868,2008,6495.5
1868,2009,6630.75
1868,2010,6731
1868,2011,6736.25
1868,2012,6736.5
1868,2013,6765.25
1868,2014,6769.75
1868,2015,6778.5
1868,2016,6819.75
1868,2017,6819.75
1868,2018,6819.75
1870,2000,4988
1870,2001,5001.75
1870,2002,5231.25
1870,2003,5860.5
1870,2004,6165
1870,2005,6386
1870,2006,6489.5
1870,2007,6491.5
1870,2008,6495.5
1870,2009,6630.75
1870,2010,6731
1870,2011,6736.25
1870,2012,6736.5
1870,2013,6765.25
1870,2014,6769.75
1870,2015,6778.5
1870,2016,6819.75
1870,2017,6819.75
1870,2018,6819.75
1871,2000,4988
1871,2001,5001.75
1871,2002,5231.25
1871,2003,5860.5
1871,2004,6165
1871,2005,6386
1871,2006,6489.5
1871,2007,6491.5
1871,2008,6495.5
1871,2009,6630.75
1871,2010,6731
1871,2011,6736.25
1871,2012,6736.5
1871,2013,6765.25
1871,2014,6769.75
1871,2015,6778.5
1871,2016,6819.75
1871,2017,6819.75
1871,2018,6819.75
1874,2000,4988
1874,2001,5001.75
1874,2002,5231.25
1874,2003,5860.5
1874,2004,6165
1874,2005,6386
1874,2006,6489.5
1874,2007,6491.5
1874,2008,6495.5
