rgn_id,year,Ep
1804,1995,0.0646225
1804,1996,0.0711025
1804,1997,0.0727841
1804,1998,0.070314
1804,1999,0.074474
1804,2000,0.0743473
1804,2001,0.070821
1804,2002,0.066496
1804,2003,0.0633791
1804,2004,0.0576468
1804,2005,0.0579462
1804,2006,0.0562922
1804,2007,0.0577328
1804,2008,0.0581382
1804,2009,0.0574428
1804,2010,0.0596237
1804,2011,0.0604112
1804,2012,0.0600856
1804,2013,0.0604249
1804,2014,0.0620195
1804,2015,0.0660951
1804,2016,0.0661059
1804,2017,0.0648286
1804,2018,0.0659227
1804,2019,0.0661403
1804,2020,0.0665173
1804,2021,0.0670393
1804,2022,0.0676247
1804,2023,0.0683277
1804,2024,0.069052
1804,2025,0.0698586
1804,2026,0.070683
1804,2027,0.0715712
1804,2028,0.0716961
1805,1995,0.0646225
1805,1996,0.0711025
1805,1997,0.0727841
1805,1998,0.070314
1805,1999,0.074474
1805,2000,0.0743473
1805,2001,0.070821
1805,2002,0.066496
1805,2003,0.0633791
1805,2004,0.0576468
1805,2005,0.0579462
1805,2006,0.0562922
1805,2007,0.0577328
1805,2008,0.0581382
1805,2009,0.0574428
1805,2010,0.0596237
1805,2011,0.0604112
1805,2012,0.0600856
1805,2013,0.0604249
1805,2014,0.0620195
1805,2015,0.0660951
1805,2016,0.0661059
1805,2017,0.0648286
1805,2018,0.0659227
1805,2019,0.0661403
1805,2020,0.0665173
1805,2021,0.0670393
1805,2022,0.0676247
1805,2023,0.0683277
1805,2024,0.069052
1805,2025,0.0698586
1805,2026,0.070683
1805,2027,0.0715712
1805,2028,0.0716961
1811,1995,0.0646225
1811,1996,0.0711025
1811,1997,0.0727841
1811,1998,0.070314
1811,1999,0.074474
1811,2000,0.0743473
1811,2001,0.070821
1811,2002,0.066496
1811,2003,0.0633791
1811,2004,0.0576468
1811,2005,0.0579462
1811,2006,0.0562922
1811,2007,0.0577328
1811,2008,0.0581382
1811,2009,0.0574428
1811,2010,0.0596237
1811,2011,0.0604112
1811,2012,0.0600856
1811,2013,0.0604249
1811,2014,0.0620195
1811,2015,0.0660951
1811,2016,0.0661059
1811,2017,0.0648286
1811,2018,0.0659227
1811,2019,0.0661403
1811,2020,0.0665173
1811,2021,0.0670393
1811,2022,0.0676247
1811,2023,0.0683277
1811,2024,0.069052
1811,2025,0.0698586
1811,2026,0.070683
1811,2027,0.0715712
1811,2028,0.0716961
1812,1995,0.0646225
1812,1996,0.0711025
1812,1997,0.0727841
1812,1998,0.070314
1812,1999,0.074474
1812,2000,0.0743473
1812,2001,0.070821
1812,2002,0.066496
1812,2003,0.0633791
1812,2004,0.0576468
1812,2005,0.0579462
1812,2006,0.0562922
1812,2007,0.0577328
1812,2008,0.0581382
1812,2009,0.0574428
1812,2010,0.0596237
1812,2011,0.0604112
1812,2012,0.0600856
1812,2013,0.0604249
1812,2014,0.0620195
1812,2015,0.0660951
1812,2016,0.0661059
1812,2017,0.0648286
1812,2018,0.0659227
1812,2019,0.0661403
1812,2020,0.0665173
1812,2021,0.0670393
1812,2022,0.0676247
1812,2023,0.0683277
1812,2024,0.069052
1812,2025,0.0698586
1812,2026,0.070683
1812,2027,0.0715712
1812,2028,0.0716961
1813,1995,0.0646225
1813,1996,0.0711025
1813,1997,0.0727841
1813,1998,0.070314
1813,1999,0.074474
1813,2000,0.0743473
1813,2001,0.070821
1813,2002,0.066496
1813,2003,0.0633791
1813,2004,0.0576468
1813,2005,0.0579462
1813,2006,0.0562922
1813,2007,0.0577328
1813,2008,0.0581382
1813,2009,0.0574428
1813,2010,0.0596237
1813,2011,0.0604112
1813,2012,0.0600856
1813,2013,0.0604249
1813,2014,0.0620195
1813,2015,0.0660951
1813,2016,0.0661059
1813,2017,0.0648286
1813,2018,0.0659227
1813,2019,0.0661403
1813,2020,0.0665173
1813,2021,0.0670393
1813,2022,0.0676247
1813,2023,0.0683277
1813,2024,0.069052
1813,2025,0.0698586
1813,2026,0.070683
1813,2027,0.0715712
1813,2028,0.0716961
1815,1995,0.0646225
1815,1996,0.0711025
1815,1997,0.0727841
1815,1998,0.070314
1815,1999,0.074474
1815,2000,0.0743473
1815,2001,0.070821
1815,2002,0.066496
1815,2003,0.0633791
1815,2004,0.0576468
1815,2005,0.0579462
1815,2006,0.0562922
1815,2007,0.0577328
1815,2008,0.0581382
1815,2009,0.0574428
1815,2010,0.0596237
1815,2011,0.0604112
1815,2012,0.0600856
1815,2013,0.0604249
1815,2014,0.0620195
1815,2015,0.0660951
1815,2016,0.0661059
1815,2017,0.0648286
1815,2018,0.0659227
1815,2019,0.0661403
1815,2020,0.0665173
1815,2021,0.0670393
1815,2022,0.0676247
1815,2023,0.0683277
1815,2024,0.069052
1815,2025,0.0698586
1815,2026,0.070683
1815,2027,0.0715712
1815,2028,0.0716961
1816,1995,0.0646225
1816,1996,0.0711025
1816,1997,0.0727841
1816,1998,0.070314
1816,1999,0.074474
1816,2000,0.0743473
1816,2001,0.070821
1816,2002,0.066496
1816,2003,0.0633791
1816,2004,0.0576468
1816,2005,0.0579462
1816,2006,0.0562922
1816,2007,0.0577328
1816,2008,0.0581382
1816,2009,0.0574428
1816,2010,0.0596237
1816,2011,0.0604112
1816,2012,0.0600856
1816,2013,0.0604249
1816,2014,0.0620195
1816,2015,0.0660951
1816,2016,0.0661059
1816,2017,0.0648286
1816,2018,0.0659227
1816,2019,0.0661403
1816,2020,0.0665173
1816,2021,0.0670393
1816,2022,0.0676247
1816,2023,0.0683277
1816,2024,0.069052
1816,2025,0.0698586
1816,2026,0.070683
1816,2027,0.0715712
1816,2028,0.0716961
1818,1995,0.0646225
1818,1996,0.0711025
1818,1997,0.0727841
1818,1998,0.070314
1818,1999,0.074474
1818,2000,0.0743473
1818,2001,0.070821
1818,2002,0.066496
1818,2003,0.0633791
1818,2004,0.0576468
1818,2005,0.0579462
1818,2006,0.0562922
1818,2007,0.0577328
1818,2008,0.0581382
1818,2009,0.0574428
1818,2010,0.0596237
1818,2011,0.0604112
1818,2012,0.0600856
1818,2013,0.0604249
1818,2014,0.0620195
1818,2015,0.0660951
1818,2016,0.0661059
1818,2017,0.0648286
1818,2018,0.0659227
1818,2019,0.0661403
1818,2020,0.0665173
1818,2021,0.0670393
1818,2022,0.0676247
1818,2023,0.0683277
1818,2024,0.069052
1818,2025,0.0698586
1818,2026,0.070683
1818,2027,0.0715712
1818,2028,0.0716961
1820,1995,0.0646225
1820,1996,0.0711025
1820,1997,0.0727841
1820,1998,0.070314
1820,1999,0.074474
1820,2000,0.0743473
1820,2001,0.070821
1820,2002,0.066496
1820,2003,0.0633791
1820,2004,0.0576468
1820,2005,0.0579462
1820,2006,0.0562922
1820,2007,0.0577328
1820,2008,0.0581382
1820,2009,0.0574428
1820,2010,0.0596237
1820,2011,0.0604112
1820,2012,0.0600856
1820,2013,0.0604249
1820,2014,0.0620195
1820,2015,0.0660951
1820,2016,0.0661059
1820,2017,0.0648286
1820,2018,0.0659227
1820,2019,0.0661403
1820,2020,0.0665173
1820,2021,0.0670393
1820,2022,0.0676247
1820,2023,0.0683277
1820,2024,0.069052
1820,2025,0.0698586
1820,2026,0.070683
1820,2027,0.0715712
1820,2028,0.0716961
1822,1995,0.0646225
1822,1996,0.0711025
1822,1997,0.0727841
1822,1998,0.070314
1822,1999,0.074474
1822,2000,0.0743473
1822,2001,0.070821
1822,2002,0.066496
1822,2003,0.0633791
1822,2004,0.0576468
1822,2005,0.0579462
1822,2006,0.0562922
1822,2007,0.0577328
1822,2008,0.0581382
1822,2009,0.0574428
1822,2010,0.0596237
1822,2011,0.0604112
1822,2012,0.0600856
1822,2013,0.0604249
1822,2014,0.0620195
1822,2015,0.0660951
1822,2016,0.0661059
1822,2017,0.0648286
1822,2018,0.0659227
1822,2019,0.0661403
1822,2020,0.0665173
1822,2021,0.0670393
1822,2022,0.0676247
1822,2023,0.0683277
1822,2024,0.069052
1822,2025,0.0698586
1822,2026,0.070683
1822,2027,0.0715712
1822,2028,0.0716961
1824,1995,0.0646225
1824,1996,0.0711025
1824,1997,0.0727841
1824,1998,0.070314
1824,1999,0.074474
1824,2000,0.0743473
1824,2001,0.070821
1824,2002,0.066496
1824,2003,0.0633791
1824,2004,0.0576468
1824,2005,0.0579462
1824,2006,0.0562922
1824,2007,0.0577328
1824,2008,0.0581382
1824,2009,0.0574428
1824,2010,0.0596237
1824,2011,0.0604112
1824,2012,0.0600856
1824,2013,0.0604249
1824,2014,0.0620195
1824,2015,0.0660951
1824,2016,0.0661059
1824,2017,0.0648286
1824,2018,0.0659227
1824,2019,0.0661403
1824,2020,0.0665173
1824,2021,0.0670393
1824,2022,0.0676247
1824,2023,0.0683277
1824,2024,0.069052
1824,2025,0.0698586
1824,2026,0.070683
1824,2027,0.0715712
1824,2028,0.0716961
1827,1995,0.0646225
1827,1996,0.0711025
1827,1997,0.0727841
1827,1998,0.070314
1827,1999,0.074474
1827,2000,0.0743473
1827,2001,0.070821
1827,2002,0.066496
1827,2003,0.0633791
1827,2004,0.0576468
1827,2005,0.0579462
1827,2006,0.0562922
1827,2007,0.0577328
1827,2008,0.0581382
1827,2009,0.0574428
1827,2010,0.0596237
1827,2011,0.0604112
1827,2012,0.0600856
1827,2013,0.0604249
1827,2014,0.0620195
1827,2015,0.0660951
1827,2016,0.0661059
1827,2017,0.0648286
1827,2018,0.0659227
1827,2019,0.0661403
1827,2020,0.0665173
1827,2021,0.0670393
1827,2022,0.0676247
1827,2023,0.0683277
1827,2024,0.069052
1827,2025,0.0698586
1827,2026,0.070683
1827,2027,0.0715712
1827,2028,0.0716961
1828,1995,0.0646225
1828,1996,0.0711025
1828,1997,0.0727841
1828,1998,0.070314
1828,1999,0.074474
1828,2000,0.0743473
1828,2001,0.070821
1828,2002,0.066496
1828,2003,0.0633791
1828,2004,0.0576468
1828,2005,0.0579462
1828,2006,0.0562922
1828,2007,0.0577328
1828,2008,0.0581382
1828,2009,0.0574428
1828,2010,0.0596237
1828,2011,0.0604112
1828,2012,0.0600856
1828,2013,0.0604249
1828,2014,0.0620195
1828,2015,0.0660951
1828,2016,0.0661059
1828,2017,0.0648286
1828,2018,0.0659227
1828,2019,0.0661403
1828,2020,0.0665173
1828,2021,0.0670393
1828,2022,0.0676247
1828,2023,0.0683277
1828,2024,0.069052
1828,2025,0.0698586
1828,2026,0.070683
1828,2027,0.0715712
1828,2028,0.0716961
1832,1995,0.0646225
1832,1996,0.0711025
1832,1997,0.0727841
1832,1998,0.070314
1832,1999,0.074474
1832,2000,0.0743473
1832,2001,0.070821
1832,2002,0.066496
1832,2003,0.0633791
1832,2004,0.0576468
1832,2005,0.0579462
1832,2006,0.0562922
1832,2007,0.0577328
1832,2008,0.0581382
1832,2009,0.0574428
1832,2010,0.0596237
1832,2011,0.0604112
1832,2012,0.0600856
1832,2013,0.0604249
1832,2014,0.0620195
1832,2015,0.0660951
1832,2016,0.0661059
1832,2017,0.0648286
1832,2018,0.0659227
1832,2019,0.0661403
1832,2020,0.0665173
1832,2021,0.0670393
1832,2022,0.0676247
1832,2023,0.0683277
1832,2024,0.069052
1832,2025,0.0698586
1832,2026,0.070683
1832,2027,0.0715712
1832,2028,0.0716961
1833,1995,0.0646225
1833,1996,0.0711025
1833,1997,0.0727841
1833,1998,0.070314
1833,1999,0.074474
1833,2000,0.0743473
1833,2001,0.070821
1833,2002,0.066496
1833,2003,0.0633791
1833,2004,0.0576468
1833,2005,0.0579462
1833,2006,0.0562922
1833,2007,0.0577328
1833,2008,0.0581382
1833,2009,0.0574428
1833,2010,0.0596237
1833,2011,0.0604112
1833,2012,0.0600856
1833,2013,0.0604249
1833,2014,0.0620195
1833,2015,0.0660951
1833,2016,0.0661059
1833,2017,0.0648286
1833,2018,0.0659227
1833,2019,0.0661403
1833,2020,0.0665173
1833,2021,0.0670393
1833,2022,0.0676247
1833,2023,0.0683277
1833,2024,0.069052
1833,2025,0.0698586
1833,2026,0.070683
1833,2027,0.0715712
1833,2028,0.0716961
1834,1995,0.0646225
1834,1996,0.0711025
1834,1997,0.0727841
1834,1998,0.070314
1834,1999,0.074474
1834,2000,0.0743473
1834,2001,0.070821
1834,2002,0.066496
1834,2003,0.0633791
1834,2004,0.0576468
1834,2005,0.0579462
1834,2006,0.0562922
1834,2007,0.0577328
1834,2008,0.0581382
1834,2009,0.0574428
1834,2010,0.0596237
1834,2011,0.0604112
1834,2012,0.0600856
1834,2013,0.0604249
1834,2014,0.0620195
1834,2015,0.0660951
1834,2016,0.0661059
1834,2017,0.0648286
1834,2018,0.0659227
1834,2019,0.0661403
1834,2020,0.0665173
1834,2021,0.0670393
1834,2022,0.0676247
1834,2023,0.0683277
1834,2024,0.069052
1834,2025,0.0698586
1834,2026,0.070683
1834,2027,0.0715712
1834,2028,0.0716961
1835,1995,0.0646225
1835,1996,0.0711025
1835,1997,0.0727841
1835,1998,0.070314
1835,1999,0.074474
1835,2000,0.0743473
1835,2001,0.070821
1835,2002,0.066496
1835,2003,0.0633791
1835,2004,0.0576468
1835,2005,0.0579462
1835,2006,0.0562922
1835,2007,0.0577328
1835,2008,0.0581382
1835,2009,0.0574428
1835,2010,0.0596237
1835,2011,0.0604112
1835,2012,0.0600856
1835,2013,0.0604249
1835,2014,0.0620195
1835,2015,0.0660951
1835,2016,0.0661059
1835,2017,0.0648286
1835,2018,0.0659227
1835,2019,0.0661403
1835,2020,0.0665173
1835,2021,0.0670393
1835,2022,0.0676247
1835,2023,0.0683277
1835,2024,0.069052
1835,2025,0.0698586
1835,2026,0.070683
1835,2027,0.0715712
1835,2028,0.0716961
1836,1995,0.0646225
1836,1996,0.0711025
1836,1997,0.0727841
1836,1998,0.070314
1836,1999,0.074474
1836,2000,0.0743473
1836,2001,0.070821
1836,2002,0.066496
1836,2003,0.0633791
1836,2004,0.0576468
1836,2005,0.0579462
1836,2006,0.0562922
1836,2007,0.0577328
1836,2008,0.0581382
1836,2009,0.0574428
1836,2010,0.0596237
1836,2011,0.0604112
1836,2012,0.0600856
1836,2013,0.0604249
1836,2014,0.0620195
1836,2015,0.0660951
1836,2016,0.0661059
1836,2017,0.0648286
1836,2018,0.0659227
1836,2019,0.0661403
1836,2020,0.0665173
1836,2021,0.0670393
1836,2022,0.0676247
1836,2023,0.0683277
1836,2024,0.069052
1836,2025,0.0698586
1836,2026,0.070683
1836,2027,0.0715712
1836,2028,0.0716961
1837,1995,0.0646225
1837,1996,0.0711025
1837,1997,0.0727841
1837,1998,0.070314
1837,1999,0.074474
1837,2000,0.0743473
1837,2001,0.070821
1837,2002,0.066496
1837,2003,0.0633791
1837,2004,0.0576468
1837,2005,0.0579462
1837,2006,0.0562922
1837,2007,0.0577328
1837,2008,0.0581382
1837,2009,0.0574428
1837,2010,0.0596237
1837,2011,0.0604112
1837,2012,0.0600856
1837,2013,0.0604249
1837,2014,0.0620195
1837,2015,0.0660951
1837,2016,0.0661059
1837,2017,0.0648286
1837,2018,0.0659227
1837,2019,0.0661403
1837,2020,0.0665173
1837,2021,0.0670393
1837,2022,0.0676247
1837,2023,0.0683277
1837,2024,0.069052
1837,2025,0.0698586
1837,2026,0.070683
1837,2027,0.0715712
1837,2028,0.0716961
1838,1995,0.0646225
1838,1996,0.0711025
1838,1997,0.0727841
1838,1998,0.070314
1838,1999,0.074474
1838,2000,0.0743473
1838,2001,0.070821
1838,2002,0.066496
1838,2003,0.0633791
1838,2004,0.0576468
1838,2005,0.0579462
1838,2006,0.0562922
1838,2007,0.0577328
1838,2008,0.0581382
1838,2009,0.0574428
1838,2010,0.0596237
1838,2011,0.0604112
1838,2012,0.0600856
1838,2013,0.0604249
1838,2014,0.0620195
1838,2015,0.0660951
1838,2016,0.0661059
1838,2017,0.0648286
1838,2018,0.0659227
1838,2019,0.0661403
1838,2020,0.0665173
1838,2021,0.0670393
1838,2022,0.0676247
1838,2023,0.0683277
1838,2024,0.069052
1838,2025,0.0698586
1838,2026,0.070683
1838,2027,0.0715712
1838,2028,0.0716961
1840,1995,0.0646225
1840,1996,0.0711025
1840,1997,0.0727841
1840,1998,0.070314
1840,1999,0.074474
1840,2000,0.0743473
1840,2001,0.070821
1840,2002,0.066496
1840,2003,0.0633791
1840,2004,0.0576468
1840,2005,0.0579462
1840,2006,0.0562922
1840,2007,0.0577328
1840,2008,0.0581382
1840,2009,0.0574428
1840,2010,0.0596237
1840,2011,0.0604112
1840,2012,0.0600856
1840,2013,0.0604249
1840,2014,0.0620195
1840,2015,0.0660951
1840,2016,0.0661059
1840,2017,0.0648286
1840,2018,0.0659227
1840,2019,0.0661403
1840,2020,0.0665173
1840,2021,0.0670393
1840,2022,0.0676247
1840,2023,0.0683277
1840,2024,0.069052
1840,2025,0.0698586
1840,2026,0.070683
1840,2027,0.0715712
1840,2028,0.0716961
1841,1995,0.0646225
1841,1996,0.0711025
1841,1997,0.0727841
1841,1998,0.070314
1841,1999,0.074474
1841,2000,0.0743473
1841,2001,0.070821
1841,2002,0.066496
1841,2003,0.0633791
1841,2004,0.0576468
1841,2005,0.0579462
1841,2006,0.0562922
1841,2007,0.0577328
1841,2008,0.0581382
1841,2009,0.0574428
1841,2010,0.0596237
1841,2011,0.0604112
1841,2012,0.0600856
1841,2013,0.0604249
1841,2014,0.0620195
1841,2015,0.0660951
1841,2016,0.0661059
1841,2017,0.0648286
1841,2018,0.0659227
1841,2019,0.0661403
1841,2020,0.0665173
1841,2021,0.0670393
1841,2022,0.0676247
1841,2023,0.0683277
1841,2024,0.069052
1841,2025,0.0698586
1841,2026,0.070683
1841,2027,0.0715712
1841,2028,0.0716961
1845,1995,0.0646225
1845,1996,0.0711025
1845,1997,0.0727841
1845,1998,0.070314
1845,1999,0.074474
1845,2000,0.0743473
1845,2001,0.070821
1845,2002,0.066496
1845,2003,0.0633791
1845,2004,0.0576468
1845,2005,0.0579462
1845,2006,0.0562922
1845,2007,0.0577328
1845,2008,0.0581382
1845,2009,0.0574428
1845,2010,0.0596237
1845,2011,0.0604112
1845,2012,0.0600856
1845,2013,0.0604249
1845,2014,0.0620195
1845,2015,0.0660951
1845,2016,0.0661059
1845,2017,0.0648286
1845,2018,0.0659227
1845,2019,0.0661403
1845,2020,0.0665173
1845,2021,0.0670393
1845,2022,0.0676247
1845,2023,0.0683277
1845,2024,0.069052
1845,2025,0.0698586
1845,2026,0.070683
1845,2027,0.0715712
1845,2028,0.0716961
1848,1995,0.0646225
1848,1996,0.0711025
1848,1997,0.0727841
1848,1998,0.070314
1848,1999,0.074474
1848,2000,0.0743473
1848,2001,0.070821
1848,2002,0.066496
1848,2003,0.0633791
1848,2004,0.0576468
1848,2005,0.0579462
1848,2006,0.0562922
1848,2007,0.0577328
1848,2008,0.0581382
1848,2009,0.0574428
1848,2010,0.0596237
1848,2011,0.0604112
1848,2012,0.0600856
1848,2013,0.0604249
1848,2014,0.0620195
1848,2015,0.0660951
1848,2016,0.0661059
1848,2017,0.0648286
1848,2018,0.0659227
1848,2019,0.0661403
1848,2020,0.0665173
1848,2021,0.0670393
1848,2022,0.0676247
1848,2023,0.0683277
1848,2024,0.069052
1848,2025,0.0698586
1848,2026,0.070683
1848,2027,0.0715712
1848,2028,0.0716961
1849,1995,0.0646225
1849,1996,0.0711025
1849,1997,0.0727841
1849,1998,0.070314
1849,1999,0.074474
1849,2000,0.0743473
1849,2001,0.070821
1849,2002,0.066496
1849,2003,0.0633791
1849,2004,0.0576468
1849,2005,0.0579462
1849,2006,0.0562922
1849,2007,0.0577328
1849,2008,0.0581382
1849,2009,0.0574428
1849,2010,0.0596237
1849,2011,0.0604112
1849,2012,0.0600856
1849,2013,0.0604249
1849,2014,0.0620195
1849,2015,0.0660951
1849,2016,0.0661059
1849,2017,0.0648286
1849,2018,0.0659227
1849,2019,0.0661403
1849,2020,0.0665173
1849,2021,0.0670393
1849,2022,0.0676247
1849,2023,0.0683277
1849,2024,0.069052
1849,2025,0.0698586
1849,2026,0.070683
1849,2027,0.0715712
1849,2028,0.0716961
1850,1995,0.0646225
1850,1996,0.0711025
1850,1997,0.0727841
1850,1998,0.070314
1850,1999,0.074474
1850,2000,0.0743473
1850,2001,0.070821
1850,2002,0.066496
1850,2003,0.0633791
1850,2004,0.0576468
1850,2005,0.0579462
1850,2006,0.0562922
1850,2007,0.0577328
1850,2008,0.0581382
1850,2009,0.0574428
1850,2010,0.0596237
1850,2011,0.0604112
1850,2012,0.0600856
1850,2013,0.0604249
1850,2014,0.0620195
1850,2015,0.0660951
1850,2016,0.0661059
1850,2017,0.0648286
1850,2018,0.0659227
1850,2019,0.0661403
1850,2020,0.0665173
1850,2021,0.0670393
1850,2022,0.0676247
1850,2023,0.0683277
1850,2024,0.069052
1850,2025,0.0698586
1850,2026,0.070683
1850,2027,0.0715712
1850,2028,0.0716961
1851,1995,0.0646225
1851,1996,0.0711025
1851,1997,0.0727841
1851,1998,0.070314
1851,1999,0.074474
1851,2000,0.0743473
1851,2001,0.070821
1851,2002,0.066496
1851,2003,0.0633791
1851,2004,0.0576468
1851,2005,0.0579462
1851,2006,0.0562922
1851,2007,0.0577328
1851,2008,0.0581382
1851,2009,0.0574428
1851,2010,0.0596237
1851,2011,0.0604112
1851,2012,0.0600856
1851,2013,0.0604249
1851,2014,0.0620195
1851,2015,0.0660951
1851,2016,0.0661059
1851,2017,0.0648286
1851,2018,0.0659227
1851,2019,0.0661403
1851,2020,0.0665173
1851,2021,0.0670393
1851,2022,0.0676247
1851,2023,0.0683277
1851,2024,0.069052
1851,2025,0.0698586
1851,2026,0.070683
1851,2027,0.0715712
