"rgn_id","habitat","boolean","layer"
1804,"seaice_edge",1,"element_wts_hab_pres_abs"
1805,"seaice_edge",1,"element_wts_hab_pres_abs"
1811,"seaice_edge",1,"element_wts_hab_pres_abs"
1812,"seaice_edge",1,"element_wts_hab_pres_abs"
1813,"seaice_edge",1,"element_wts_hab_pres_abs"
1815,"seaice_edge",1,"element_wts_hab_pres_abs"
1816,"seaice_edge",1,"element_wts_hab_pres_abs"
1818,"seaice_edge",1,"element_wts_hab_pres_abs"
1820,"seaice_edge",1,"element_wts_hab_pres_abs"
1822,"seaice_edge",1,"element_wts_hab_pres_abs"
1824,"seaice_edge",1,"element_wts_hab_pres_abs"
1827,"seaice_edge",1,"element_wts_hab_pres_abs"
1828,"seaice_edge",1,"element_wts_hab_pres_abs"
1832,"seaice_edge",1,"element_wts_hab_pres_abs"
1833,"seaice_edge",1,"element_wts_hab_pres_abs"
1834,"seaice_edge",1,"element_wts_hab_pres_abs"
1835,"seaice_edge",1,"element_wts_hab_pres_abs"
1836,"seaice_edge",1,"element_wts_hab_pres_abs"
1837,"seaice_edge",1,"element_wts_hab_pres_abs"
1838,"seaice_edge",1,"element_wts_hab_pres_abs"
1840,"seaice_edge",1,"element_wts_hab_pres_abs"
1841,"seaice_edge",1,"element_wts_hab_pres_abs"
1845,"seaice_edge",1,"element_wts_hab_pres_abs"
1848,"seaice_edge",1,"element_wts_hab_pres_abs"
1849,"seaice_edge",1,"element_wts_hab_pres_abs"
1850,"seaice_edge",1,"element_wts_hab_pres_abs"
1851,"seaice_edge",1,"element_wts_hab_pres_abs"
1852,"seaice_edge",1,"element_wts_hab_pres_abs"
1853,"seaice_edge",1,"element_wts_hab_pres_abs"
1854,"seaice_edge",1,"element_wts_hab_pres_abs"
1856,"seaice_edge",1,"element_wts_hab_pres_abs"
1857,"seaice_edge",1,"element_wts_hab_pres_abs"
1859,"seaice_edge",1,"element_wts_hab_pres_abs"
1860,"seaice_edge",1,"element_wts_hab_pres_abs"
1865,"seaice_edge",1,"element_wts_hab_pres_abs"
1866,"seaice_edge",1,"element_wts_hab_pres_abs"
1867,"seaice_edge",1,"element_wts_hab_pres_abs"
1868,"seaice_edge",1,"element_wts_hab_pres_abs"
1870,"seaice_edge",1,"element_wts_hab_pres_abs"
1871,"seaice_edge",1,"element_wts_hab_pres_abs"
1874,"seaice_edge",1,"element_wts_hab_pres_abs"
1902,"seaice_edge",1,"element_wts_hab_pres_abs"
1903,"seaice_edge",1,"element_wts_hab_pres_abs"
1911,"seaice_edge",1,"element_wts_hab_pres_abs"
1913,"seaice_edge",1,"element_wts_hab_pres_abs"
1917,"seaice_edge",1,"element_wts_hab_pres_abs"
1919,"seaice_edge",1,"element_wts_hab_pres_abs"
1920,"seaice_edge",1,"element_wts_hab_pres_abs"
1923,"seaice_edge",1,"element_wts_hab_pres_abs"
1924,"seaice_edge",1,"element_wts_hab_pres_abs"
1925,"seaice_edge",1,"element_wts_hab_pres_abs"
1926,"seaice_edge",1,"element_wts_hab_pres_abs"
1927,"seaice_edge",1,"element_wts_hab_pres_abs"
1928,"seaice_edge",1,"element_wts_hab_pres_abs"
1929,"seaice_edge",1,"element_wts_hab_pres_abs"
1931,"seaice_edge",1,"element_wts_hab_pres_abs"
1933,"seaice_edge",1,"element_wts_hab_pres_abs"
1936,"seaice_edge",1,"element_wts_hab_pres_abs"
1938,"seaice_edge",1,"element_wts_hab_pres_abs"
1939,"seaice_edge",1,"element_wts_hab_pres_abs"
1940,"seaice_edge",1,"element_wts_hab_pres_abs"
1941,"seaice_edge",1,"element_wts_hab_pres_abs"
1942,"seaice_edge",1,"element_wts_hab_pres_abs"
1943,"seaice_edge",1,"element_wts_hab_pres_abs"
2002,"seaice_edge",1,"element_wts_hab_pres_abs"
2003,"seaice_edge",1,"element_wts_hab_pres_abs"
2004,"seaice_edge",1,"element_wts_hab_pres_abs"
2012,"seaice_edge",1,"element_wts_hab_pres_abs"
2014,"seaice_edge",1,"element_wts_hab_pres_abs"
2015,"seaice_edge",1,"element_wts_hab_pres_abs"
2017,"seaice_edge",1,"element_wts_hab_pres_abs"
2018,"seaice_edge",1,"element_wts_hab_pres_abs"
2019,"seaice_edge",1,"element_wts_hab_pres_abs"
2020,"seaice_edge",1,"element_wts_hab_pres_abs"
2022,"seaice_edge",1,"element_wts_hab_pres_abs"
2023,"seaice_edge",1,"element_wts_hab_pres_abs"
2024,"seaice_edge",1,"element_wts_hab_pres_abs"
2025,"seaice_edge",1,"element_wts_hab_pres_abs"
2027,"seaice_edge",1,"element_wts_hab_pres_abs"
2028,"seaice_edge",1,"element_wts_hab_pres_abs"
2030,"seaice_edge",1,"element_wts_hab_pres_abs"
1804,"soft_bottom",1,"element_wts_hab_pres_abs"
1805,"soft_bottom",1,"element_wts_hab_pres_abs"
1811,"soft_bottom",1,"element_wts_hab_pres_abs"
1812,"soft_bottom",1,"element_wts_hab_pres_abs"
1813,"soft_bottom",1,"element_wts_hab_pres_abs"
1815,"soft_bottom",1,"element_wts_hab_pres_abs"
1816,"soft_bottom",1,"element_wts_hab_pres_abs"
1818,"soft_bottom",1,"element_wts_hab_pres_abs"
1820,"soft_bottom",1,"element_wts_hab_pres_abs"
1822,"soft_bottom",1,"element_wts_hab_pres_abs"
1824,"soft_bottom",1,"element_wts_hab_pres_abs"
1827,"soft_bottom",1,"element_wts_hab_pres_abs"
1828,"soft_bottom",1,"element_wts_hab_pres_abs"
1832,"soft_bottom",1,"element_wts_hab_pres_abs"
1833,"soft_bottom",1,"element_wts_hab_pres_abs"
1834,"soft_bottom",1,"element_wts_hab_pres_abs"
1835,"soft_bottom",1,"element_wts_hab_pres_abs"
1836,"soft_bottom",1,"element_wts_hab_pres_abs"
1837,"soft_bottom",1,"element_wts_hab_pres_abs"
1838,"soft_bottom",1,"element_wts_hab_pres_abs"
1840,"soft_bottom",1,"element_wts_hab_pres_abs"
1841,"soft_bottom",1,"element_wts_hab_pres_abs"
1845,"soft_bottom",1,"element_wts_hab_pres_abs"
1848,"soft_bottom",1,"element_wts_hab_pres_abs"
1849,"soft_bottom",1,"element_wts_hab_pres_abs"
1850,"soft_bottom",1,"element_wts_hab_pres_abs"
1851,"soft_bottom",1,"element_wts_hab_pres_abs"
1852,"soft_bottom",1,"element_wts_hab_pres_abs"
1853,"soft_bottom",1,"element_wts_hab_pres_abs"
1854,"soft_bottom",1,"element_wts_hab_pres_abs"
1856,"soft_bottom",1,"element_wts_hab_pres_abs"
1857,"soft_bottom",1,"element_wts_hab_pres_abs"
1859,"soft_bottom",1,"element_wts_hab_pres_abs"
1860,"soft_bottom",1,"element_wts_hab_pres_abs"
1865,"soft_bottom",1,"element_wts_hab_pres_abs"
1866,"soft_bottom",1,"element_wts_hab_pres_abs"
1867,"soft_bottom",1,"element_wts_hab_pres_abs"
1868,"soft_bottom",1,"element_wts_hab_pres_abs"
1870,"soft_bottom",1,"element_wts_hab_pres_abs"
1871,"soft_bottom",1,"element_wts_hab_pres_abs"
1874,"soft_bottom",1,"element_wts_hab_pres_abs"
1902,"soft_bottom",1,"element_wts_hab_pres_abs"
1903,"soft_bottom",1,"element_wts_hab_pres_abs"
1911,"soft_bottom",1,"element_wts_hab_pres_abs"
1913,"soft_bottom",1,"element_wts_hab_pres_abs"
1917,"soft_bottom",1,"element_wts_hab_pres_abs"
1919,"soft_bottom",1,"element_wts_hab_pres_abs"
1920,"soft_bottom",1,"element_wts_hab_pres_abs"
1923,"soft_bottom",1,"element_wts_hab_pres_abs"
1924,"soft_bottom",1,"element_wts_hab_pres_abs"
1925,"soft_bottom",1,"element_wts_hab_pres_abs"
1926,"soft_bottom",1,"element_wts_hab_pres_abs"
1927,"soft_bottom",1,"element_wts_hab_pres_abs"
1928,"soft_bottom",1,"element_wts_hab_pres_abs"
1929,"soft_bottom",1,"element_wts_hab_pres_abs"
1931,"soft_bottom",1,"element_wts_hab_pres_abs"
1933,"soft_bottom",1,"element_wts_hab_pres_abs"
1936,"soft_bottom",1,"element_wts_hab_pres_abs"
1938,"soft_bottom",1,"element_wts_hab_pres_abs"
1939,"soft_bottom",1,"element_wts_hab_pres_abs"
1940,"soft_bottom",1,"element_wts_hab_pres_abs"
1941,"soft_bottom",1,"element_wts_hab_pres_abs"
1942,"soft_bottom",1,"element_wts_hab_pres_abs"
1943,"soft_bottom",1,"element_wts_hab_pres_abs"
2002,"soft_bottom",1,"element_wts_hab_pres_abs"
2003,"soft_bottom",1,"element_wts_hab_pres_abs"
2004,"soft_bottom",1,"element_wts_hab_pres_abs"
2012,"soft_bottom",1,"element_wts_hab_pres_abs"
2014,"soft_bottom",1,"element_wts_hab_pres_abs"
2015,"soft_bottom",1,"element_wts_hab_pres_abs"
2017,"soft_bottom",1,"element_wts_hab_pres_abs"
2018,"soft_bottom",1,"element_wts_hab_pres_abs"
2019,"soft_bottom",1,"element_wts_hab_pres_abs"
2020,"soft_bottom",1,"element_wts_hab_pres_abs"
2022,"soft_bottom",1,"element_wts_hab_pres_abs"
2023,"soft_bottom",1,"element_wts_hab_pres_abs"
2024,"soft_bottom",1,"element_wts_hab_pres_abs"
2025,"soft_bottom",1,"element_wts_hab_pres_abs"
2027,"soft_bottom",1,"element_wts_hab_pres_abs"
2028,"soft_bottom",1,"element_wts_hab_pres_abs"
2030,"soft_bottom",1,"element_wts_hab_pres_abs"
